project_id;Source;Project Name;Entities;Capture or Storage Details;Country;Location;State;Sector Classification;Sector Description;Subsector Classification;Subsector Description;Approx. Latitude;Approx. Longitude;Onshore/Offshore;Capacity (Metric Tons Per Annum);Storage Classification;Storage Description;Year Announced;Year Operational;Status;Notes;Month Announced;Reference;Capture Lead Company;Storage Lead Company;Transport Operator;Storage Capacity (Mt total);Funding Source;Funding Amount (EUR M);EU Funding Program;FID Date;Project Website;approximate_location;source
CH-002;CATF;KVA Linth;KVA Linth,  CO2 Capsol;Capture from waste to energy plant for storage, half of CO2 captured from biogenic sources.;Switzerland;Niederurnen, Switzerland;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;47.13588;9.04104;Onshore;110000;Unknown;Unknown;2023;;In Development;;March;https://www.kva-linth.ch/energie-umwelt/ccs;;;;;;;;;;;CATF
CH-003;CATF;KSV Werdhölzli WtE;Zurich Office for Waste Management, Recycling Zurich (ERZ);Municipal project in Zurich to capture vented CO2 from a wastewater treatment facility gas combustion. Captured carbon will be stored in recycled concrete and under the North Sea. ;Switzerland;Zurich, Switzerland;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;47.3999012987283;8.48257912261295;Onshore;25000;Dedicated Saline Storage;Dedicated Saline Storage;2024;2028;In Development;;;https://www.stadt-zuerich.ch/ted/de/index/departement/medien/medienmitteilungen/2024/01/netto-null-stadt-will-projekt-zur-co2-abscheidung-umsetzen.html;;;;;;;;;;;CATF
CZ-001;CATF;CCS Moravia;Heidelberg Materials;Capture from cement;Czechia;Czechia;;Industrial;Industrial;Cement;Cement;49.215626;16.773676;Onshore;Unknown;Dedicated Saline Storage;Dedicated Saline Storage;2024;2031;In Development;;;;;;;;;;;;;;CATF
DE-001;CATF;Leilac-2;"Heidelberg Materials, CEMEX, Lhoist, Cimpor, IKN, CERTH, Royal Belgian Institute of
Natural Sciences, BGR, POLIMI, Engie Laborelec and the Port of Rotterdam";Demonstration project to fit retrofitable capture module that is designed to be integrated and operated in an operational cement plant with minimal downtime.;Germany;Ennigerloh, Germany;;Industrial;Industrial;Cement;Cement;51.8539602870535;8.02916943720043;Onshore;100000;Unknown;Unknown;2020;;In Development;FID taken in March 2022, but location moved from Hamburg to Ennigerloh due to planned end of clinker production at original location.;April;https://carbonherald.com/heidelberg-materials-france-to-launch-ccus-installation-at-airvault-cement-plant/;;;;;;;;;;;CATF
DE-002;CATF;EVEREST;Rheinkalk GmbH;Full decarbonisation of Europe's largest lime plant by building 3 first-of-a-kind oxyfuel kilns equipped with carbon capture technology and retrofitting existing kilns for carbon capture.;Germany;Wülfrath, Germany;;Industrial;Industrial;Cement;Lime;51.2986150152574;7.01646370290686;Onshore;500000;Unknown;Unknown;2023;;In Development;Selected for Grant Agreement Preparation by the EU Innovation Fund *3rd Round;July;https://climate.ec.europa.eu/eu-action/funding-climate-action/innovation-fund/large-scale-calls/projects-selected-grant-preparation_en;;;;;;;;;;;CATF
DE-003;CATF;GeZero;Heidelberg Materials, Wintershall Dea;Capture from Geseke cement plant using 2nd generation oxyfuel kiln combined with CO₂ purification, a liquefaction unit, as well as rail loading and interim storage facilities - will also offer aggregation for smaller emitters. CO2 transport to distribution hub in Wilhelmshaven, then to North Sea by ship/pipeline.;Germany;Geseke, Germany;;Industrial;Industrial;Cement;Cement;51.6121928751957;8.51266146931304;Onshore;700000;Unknown;Unknown;2023;;In Development;Selected for Grant Agreement Preparation by the EU Innovation Fund *3rd Round;July;https://www.heidelbergmaterials.com/en/pr-2023-07-13;;;;;;;;;;;CATF
DE-004;CATF;CO2LLECT;Cemex, Linde;"HISORP® cryogenic-adsorptive CO₂ capture at Rüdersdorf Cement Plant capturing 1,300,000 tpa; raw CO₂ compressed, liquefied, transported by rail to an intermediate hub and shipped offshore for permanent sequestration in the North Sea; integrated green electricity and water recycling";Germany;Rüdersdorf, Germany;;Industrial;Industrial;Cement;Cement;52.4871968234303;13.8324674947206;Onshore;1300000;Unknown;Unknown;2024;2030;In Development;"EU Innovation Fund support of €157M; Cemex’s largest CCUS project; Invited for grant preparation; uses Linde's HISORP® technology";October;https://www.cemex.com/w/eu-backs-pioneering-co2-capture-project-at-cemexs-rudersdorf-cement-plant;;;;;;;;;;;CATF
DE-005;CATF;Holcim Höver;Holcim;CO2 capture unit using  PolyActive membrane technology by Hereon at Höver cement plant. The project will be implemented in three phases, starting with initial tests in 2022, followed by a pilot phase capturing 5,600 t/yr of CO2 in 2023, expanding to 170,000 t/yr in 2024, and ultimately reaching 1.3 Mt/yr by 2026, capturing over 90% of the plant's CO2 emissions. ;Germany;Höver, Germany;;Industrial;Industrial;Cement;Cement;52.3533;9.8891;Onshore;1300000;Unknown;Unknown;2021;2026;In Development;The Ministry for Economic Affairs and Climate Action has approved funding;;https://www.globalcement.com/news/item/13152-holcim-deutschland-to-build-a-pilot-co2-capture-unit-at-hoever-cement-plant;;;;;;;;;;;CATF
DE-006;CATF;Deuna Plant;Dyckerhoff GmbH;Dyckerhoff is planning to invest around EUR 350 million in a carbon capture installation at its Deuna cement plant in Thuringia, Germany. This project aims to reduce the plant's CO2 emissions by approximately 620,000 tons per year, enabling the production and sale of Net-Zero cement.;Germany;Deuna, Germany;;Industrial;Industrial;Cement;Cement;51.362;10.4835;Onshore;620000;Unknown;Unknown;2024;2029;In Development;"Dyckerhoff is planning to invest around EUR 350 million in the construction of a carbon capture installation at its Deuna plant in Thuringia. ""Once the investment is completed, the Dyckerhoff plant in Deuna will be one of the first plants in Germany to produce and sell Net-Zero cement,""";May;https://www.dyckerhoff.com/media/news/co2-abscheideanlage-im-werk-deuna;;;;;;;;;;;CATF
DE-007;CATF;BlueHyNow;Wintershall Dea, NWO;Blue hydrogen production;Germany;Wilhelmshaven, Germany;;Industrial;Industrial;Hydrogen;Hydrogen;53.549639;8.153304;Onshore;1300000;Dedicated Saline Storage;Dedicated Saline Storage;2022;;In Development;;;https://www.offshore-energy.biz/wintershall-dea-and-nwo-to-work-on-bluehynow-hydrogen-production-plant/;;;;;;;;;;;CATF
DE-008;CATF;H2GE Rostock;VNG, Equinor;Blue hydrogen production;Germany;Rostock, Germany;;Industrial;Industrial;Hydrogen;Hydrogen;54.158548;12.097412;Onshore;2000000;Dedicated Saline Storage;Dedicated Saline Storage;2022;;In Development;;;https://www.vng.de/en/newsroom/2022-07-04-equinor-and-vng-extending-cooperation-hydrogen-ammonia-and-carbon-capture;;;;;;;;;;;CATF
DE-009;CATF;CO2NNECTNOW;Wintershall Dea, HES Wilhelmshaven Tank Terminal;CO2 export terminal;Germany;Wilhelmshaven, Germany;;Industrial;Industrial;Transport Hub;CO2 Export terminal (Port);53.56854;8.12462;Onshore;4300000;Unknown;Unknown;2022;;In Development;;;https://storageterminalsmag.com/wintershall-dea-and-hes-wilhelmshaven-tank-terminal-sign-mou-to-develop-a-co%E2%82%82-hub/;;;;;;;;;;;CATF
DE-010;CATF;Bremerhaven CO₂ Terminal (Ambrian Energy, Messer);"Ambrian Energy; Messer; bremenports";"LCO₂ import/export terminal; pre-FEED completed";Germany;Bremerhaven, Germany;;Industrial;Industrial;Transport Hub;CO₂ Import/Export Terminal (Port);53.571894;8.558507;Onshore;2000000;Unknown;Unknown;;;Planned;;;https://www.tankstelle-magazin.de/ambrian-energy-co2-terminal-in-bremen-geplant/;;;;;;;;;;;CATF
DE-011;CATF;Brunsbüttel Terminal;Holcim, OGE;Pipeline from Holcim Lägerdorf (~1.2 Mt/y) to port for CCU/CCS export;Germany;Brunsbüttel, Germany;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);53.91229;9.185232;Onshore;Unknown;Unknown;Unknown;;;Planned;;;https://www.offshore-energy.biz/brunsbuttel-ports-are-essential-pillar-for-germanys-energy-supply-security/;;;;;;;;;;;CATF
DE-012;CATF;H2GE Rostock Hydrogen & CO₂;VNG AG, Equinor ASA;"Blue H₂ with CO₂ capture; export by ship";Germany;Rostock, Germany;;Industrial;Industrial;Transport Hub;CO₂ and Hydrogen Export Terminal (Port);54.150138;12.106883;Onshore;Unknown;Unknown;Unknown;;;Planned;;;https://www.h2-region-ost.de/en/infrastruktur/innovationsprojekte/h2ge-rostock-die-energiedrehscheibe-ostdeutschland;;;;;;;;;;;CATF
DE-013;CATF;Carbon2Business Lägerdorf;Holcim, Linde, OGE;~1.2 Mt/y to port for CCU/CCS export;Germany;Lägerdorf, Germany;;Industrial;Industrial;Cement;Cement;53.87724;9.58006;Onshore;1200000;Unknown;Unknown;;;Planned;;;https://www.holcim.de/pm-net-zero-industry-act;;;;;;;;;;;
DK-001;CATF;Asnæs Power Station (Ørsted Kalundborg Hub);Ørsted, Microsoft, Aker Carbon Capture, and Northern Lights;Carbon capture at Asnæs Combined heat Power Station, also function as a CO2 hub, handling and shipping biogenic carbon from both Avedøre and Asnæs combined heat and power stations to Northern Lights.;Denmark;Kalundborg, Denmark;;Heat and Power;Heat and Power;Biomass;Biomass;55.66073799527;11.0843902054425;Onshore;280000;Dedicated Saline Storage;Dedicated Saline Storage;2023;;Under Construction;;;https://orsted.com/en/media/newsroom/news/2023/05/20230515676011;;;;;;;;;;;CATF
DK-002;CATF;Avedøre Power Station (Ørsted Kalundborg Hub);Ørsted, Microsoft, Aker Carbon Capture, and Northern Lights;CO2 captured at a 100 MW agricultural waste facility for storage in Northern Lights. CO2 will initially be transported by lorry to Asnæs Power Station until a shared pipeline infrastructure across Zealand has been established.;Denmark;Copenhagen, Denmark;;Heat and Power;Heat and Power;Biomass;Biomass;55.603263;12.483702;Onshore;150000;Dedicated Saline Storage;Dedicated Saline Storage;2023;;Under Construction;Is the next phase of the Green Fuels for Denmark Power-to-X initiative;;https://orsted.com/en/media/newsroom/news/2023/05/20230515676011;;;;;;;;;;;CATF
DK-003;CATF;Fjernvarme Fyn CCS;Fjernvarme Fyn A/S;Capture at Odense CHP plant with district heating integration;Denmark;Odense, Denmark;;Heat and Power;Heat and Power;Biomass;Biomass;55.395;10.427;Onshore;450000;Dedicated Saline Storage;Dedicated Saline Storage;2022;2029;Planned;Pre-qualified NECCS awards;;https://www.fjernvarmefyn.dk/nyheder/fjernvarme-fyn-vil-fange-co2-her-kan-du-finde-flere-informationer/;;;;;;;;;;;CATF
DK-004;CATF;HOFOR Amagerværket CCS;HOFOR;C4. CCS at Amagerværket biomass CHP facility;Denmark;Copenhagen , Denmark;;Heat and Power;Heat and Power;Biomass;Biomass;55.661;12.614;Onshore;900000;Dedicated Saline Storage;Dedicated Saline Storage;2023;2026;Planned;negative emissions in the power/heat sector.;December;https://www.hofor.dk/baeredygtige-byer/fremtidens-fjernvarme/amagervaerket/co2-fangst-paa-amagervaerket/;;;;;;;;;;;CATF
DK-005;CATF;Aalborg Portland (ACCSION);Aalborg Portland;Capture from cement plant - to use onshore storage in North Jutland;Denmark;Denmark;;Industrial;Industrial;Cement;Cement;57.06250177;9.972268502;Onshore;500000;Dedicated Saline Storage;Dedicated Saline Storage;2021;;In Development;Selected for grant preparation IF23 ;;https://www.aalborgportland.dk/aalborg-portland-vil-teste-fangst-og-lagring-af-co2-i-2022/;;;;;;;;;;;CATF
DK-006;CATF;Kalundborg Refinery CCS;Kalundborg Refinery;"Capture from refinery process/utility stacks; export to storage";Denmark;Kalundborg, Denmark;;Industrial;Industrial;Other Subsector;Refining;55.6562;11.0964;Onshore;200000;Dedicated Saline Storage;Dedicated Saline Storage;;2029;Planned;Pre-qualified NECCS awards;;https://danskfjernvarme.dk/aktuelt/nyheder/2025/ccs-pulje-kredsloeb-soeger-praekvalifikation;;;;;;;;;;;CATF
DK-007;CATF;Ruby Storage Project;CarbonCuts (BlueNord Energy), Nordsofonden;Onshore storage, with harbour facilities for Baltic emitters, significant storage capacity of +300MT, favourable for high injection. 1 MT/year from 2027 planned, increasing to 5-10 MT/year from 2030;Denmark;Rødby, Denmark;;Storage;Storage;Storage;Storage;54.63760806;11.45912733;Onshore;7500000;Dedicated Saline Storage;Dedicated Saline Storage;2023;2030;In Development;"Anticipates injection from 2027 with an injection 
capacity of 1 million tons of CO2 per year increasing to 5-10 million tons of CO2 per year by 2030";March;https://www.bluenord.com/carboncuts/;;;;;;;;;;;CATF
DK-008;CATF;CO₂ Storage Kalundborg;Equinor LCS Denmark, Orsted, Nordsofonden 20%;Storage licence (exploration) in Denmark, onshore, North West Zealand;Denmark;Kalundborg, Denmark;;Storage;Storage;Storage;Storage;55.673176;11.100847;Offshore;10000000;Dedicated Saline Storage;Dedicated Saline Storage;2023;;In Development;"Onshore CO₂ storage pilot near Kalundborg industrial cluster; targets deep sandstone aquifer";;https://www.equinor.com/news/20240620-exploration-permit-for-co2-storage-denmark?utm_source=chatgpt.com;;;;;;;;;;;CATF
DK-009;CATF;Greenstore (Gassum);Harbour Energy, INEOS Denmark, Nordsofonden 20%;Storage licence (exploration) in Denmark, onshore Jutland (Gassum area);Denmark;Gassum, Denmark;;Storage;Storage;Storage;Storage;56.52081027;9.998041881;Onshore;8000000;Dedicated Saline Storage;Dedicated Saline Storage;2024;2029;In Development;First injection in 2029.The subsurface in the Greenstore licence area may have a total storage capacity of up to 250 Mt;;https://greenstore.dk/en/about-greenstore/;;;;;;;;;;;CATF
DK-010;CATF;Thorning (Norne);Fidelis, Nordsofonden, Ross Energy;Exploration licence awarded for potential CO₂ storage in the Thorning structure, Jutland onshore.;Denmark;Jutland, Denmark;;Storage;Storage;Storage;Storage;56;9.317996;Onshore;8000000;Dedicated Saline Storage;Dedicated Saline Storage;2023;;In Development;License awarded April 2025. Project of Common Interest (PCI);;https://www.prnewswire.com/news-releases/danish-government-awards-norne-thorning-storage-the-license-to-explore-the-possibility-of-co2-storage-in-jutland-302426584.html;;;;;;;;;;;CATF
DK-011;CATF;Bifrost;TotalEnergies, Noreco, Nordsofonden ;Offshore storage;Denmark;Harald Field, Denmark;;Storage;Storage;Storage;Storage;56.345238;4.2720219;Offshore;4800000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2021;2030;In Development;The project aims to reuse existing North Sea infrastructure while demonstrating CO2 storage in a depleted offshore gas field. This will be matured towards a final investment decision (FID) if the application for funding and the following development and demonstration program proves successful.;;https://totalenergies.com/media/news/press-releases/denmark-totalenergies-obtains-two-co2-storage-licenses-danish-north-sea;;;;;;;;;;;CATF
DK-012;CATF;Project Greensand;Harbour Energy, INEOS, SOE Nordsofonden;Storage project;Denmark;Denmark;;Storage;Storage;Storage;Storage;56.68852;5.321124;Offshore;8000000;Depleted Oil or Gas Reservoir;Depleted Oil Reservoir;2020;2026;Under Construction;The project has received support from the Energy Technology Development and Demonstration Program (EUDP) via the Danish Energy Agency. FID taken in Dec 2024;;https://www.dnv.com/news/dnv-certifies-first-co2-storage-site-for-flagship-danish-carbon-capture-and-storage-project/;;;;;;;;;;;CATF
DK-013;CATF;Port of Aalborg CO₂ Terminal;Fidelis (Norne), Gas Storage Denmark (GSD), Port of Aalborg;Import/export terminal for LCO₂. Storage Norne (Fyrkat);Denmark;Aalborg, Denmark;;Industrial;Industrial;Transport Hub;CO₂ Export/Import Terminal (Port);57.050549;10.053131;Onshore;15000000;Dedicated Saline Storage;Export interface to Norne storage;2023;2027;In Development;Import/export terminal for LCO₂;;https://portofaalborg.dk/en/norne-and-port-of-aalborg-sign-30-year-exclusive-agreement-accept-eu-cef-grant-and-launch-construction-of-co2-hub/;;;;;;;;;;;CATF
DK-014;CATF;Port of Esbjerg – Greensand CO₂ Transit Terminal;"INEOS Energy; Port of Esbjerg; Greensand partners ; Royal Wagenborg";Onshore LCO₂ export terminal with buffer tanks and ship-loading to offshore storage - Greensand and Bifrost.;Denmark;Port of Esbjerg, Denmark;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);55.457251;8.456817;Onshore;Unknown;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;;;Under Construction;Onshore LCO₂ export terminal with buffer tanks and ship-loading to offshore storage;;https://www.ineos.com/news/shared-news/construction-begins-on-greensands-co-transit-terminal-at-port-esbjerg.-the-first-gateway-for-carbon-storage-in-the-eu/;;;;;;;;;;;CATF
DK-015;CATF;Hirtshals (Greenport Scandinavia);Wintershall Dea, Evida, INEOS Energy, Port of Hirtshals, Biocarb Solution, Greenport NorthP/S;Onshore LCO₂ export terminal with buffer tanks and ship-loading to offshore storage - Greensand and Bifrost.;Denmark;Port of Hirtshals, North Jutland, Denmark;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);57.593988;9.963698;Onshore;Unknown;Unknown;Unknown;;2031;In Development; Onshore LCO₂ export terminal with buffer tanks and ship-loading to offshore storage;;https://greenportscandinavia.com/;;;;;;;;;;;CATF
DK-016;CATF;Port of Kalundborg CO₂ Terminal;"Fidelis; GSD; Capio Danmark";Import/export terminal for LCO₂. Storage Norne (Trelleborg).;Denmark;Kalundborg, Denmark;;Industrial;Industrial;Transport Hub;CO₂ Import/Export Terminal (Port);55.673176;11.100847;Onshore;Unknown;Dedicated Saline Storage;Dedicated Saline Storage;2022;2026;In Development;Hub for both import and export of liquefied CO₂;;https://fortesmedia.com/files/files/Doc_Pack/CO2024/Presentation_at_CCUS_conference_final.pdf;;;;;;;;;;;CATF
DK-017;CATF;Kredsløb Energipark Lisbjerg CCS;Kredsløb Holding A/S;Capture at Aarhus waste-to-energy facility;Denmark;Aarhus (Lisbjerg), Denmark;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;56.205;10.174;Onshore;450000;Dedicated Saline Storage;Dedicated Saline Storage;2024;2030;Planned;Possible to capture and store 0,2 Mtpa by 2030. This corresponds to about one-third of the refinery’s current emissions – with potential for even more capture and storage after 2030.;;https://www.kalundborgrefinery.com/refinery-of-the-future/;;;;;;;;;;;CATF
DK-018;CATF;Fortum Waste Solutions Nyborg CCS;"Fortum; Aker Carbon Capture (study)";Capture at hazardous waste incineration plant;Denmark;Nyborg, Denmark;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;55.312;10.789;Onshore;280000;Dedicated Saline Storage;Dedicated Saline Storage;2023;;Planned;;;https://via.ritzau.dk/pressemeddelelse/14409432/kun-10-fik-lov-fjernvarme-fyn-er-med-i-kampen-om-millioner-til-co-fangst?lang=da&publisherId=13562371&utm_source=chatgpt.com;;;;;;;;;;;CATF
DK-019;CATF;A2X CCS Esbjerg ;"Energnist; Terotech, SubC Partner";"WtE post-combustion capture at Energnist Esbjerg; CO₂ conditioning, liquefaction & temporary storage at Port of Esbjerg; export to offshore storage (Greensand)";Denmark;Esbjerg, Denmark;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;55.461601;8.5084;Onshore;200000;Dedicated Saline Storage;Dedicated Saline Storage;2023;;Planned;"DEA prequalification confirmed; LOI signed with DIN Forsyning & Port Esbjerg; includes pipeline to port + liquefaction & temp storage";;https://energnist.dk/stort-co2-fangst-anlaeg-i-esbjerg/;;;;;;;;;;;CATF
DK-020;CATF;AffaldPlus CCS ;AffaldPlus, European Energy, Ammongas, and CarbonCuts;"Capture from WtE flue gas at Næstved; export to offshore storage";Denmark;Næstved, Denmark;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;55.2089;11.729;Onshore;150000;Dedicated Saline Storage;Dedicated Saline Storage;2025;;Planned;"Prequalified by DEA CCS Fund; full-scale";;https://affaldplus.dk/affaldplus-praekvalificeret-til-ccs-pulje-et-groent-gennembrud-provinsen;;;;;;;;;;;CATF
